images,labels
data/sea/adriatic_sea_s_001534.png,71
data/shrew/shrew_s_000008.png,74
data/rocket/exocet_s_000376.png,69
data/ray/butterfly_ray_s_000139.png,67
data/bee/apis_mellifera_s_000124.png,6
data/pickup_truck/pickup_truck_s_000812.png,58
data/plain/plain_s_001330.png,60
data/bed/bed_s_000160.png,5
data/telephone/telephone_set_s_000234.png,86
data/mushroom/mushroom_s_000542.png,51
data/rose/rosebush_s_001048.png,70
data/turtle/sea_turtle_s_002434.png,93
data/fox/red_fox_s_001637.png,34
data/crab/cancer_magister_s_000171.png,26
data/cup/cup_s_001512.png,28
data/trout/sea_trout_s_000407.png,91
data/table/table_s_002667.png,84
data/chimpanzee/chimpanzee_s_001833.png,21
data/plain/serengeti_s_000904.png,60
data/orange/navel_orange_s_000275.png,53
data/elephant/elephant_s_002085.png,31
data/chair/wing_chair_s_000520.png,20
data/plate/dessert_plate_s_000066.png,61
data/plate/dessert_plate_s_000327.png,61
data/can/soda_can_s_000069.png,16
data/poppy/poppy_s_000860.png,62
data/porcupine/porcupine_s_001090.png,63
data/ray/stingray_s_001316.png,67
data/flatfish/gray_sole_s_000300.png,32
data/streetcar/streetcar_s_001683.png,81
data/sweet_pepper/bell_pepper_s_000968.png,83
data/plate/dessert_plate_s_000280.png,61
data/lizard/lizard_s_001408.png,44
data/baby/infant_s_000045.png,2
data/turtle/sea_turtle_s_001357.png,93
data/sweet_pepper/bell_pepper_s_000888.png,83
data/crab/dungeness_crab_s_000173.png,26
data/willow_tree/salix_alba_s_000385.png,96
data/apple/golden_delicious_s_000447.png,0
data/motorcycle/motorcycle_s_002298.png,48
data/skunk/spotted_skunk_s_000198.png,75
data/table/breakfast_table_s_001179.png,84
data/pear/pear_s_001426.png,57
data/maple_tree/acer_saccharinum_s_001272.png,47
data/bed/bed_s_000049.png,5
data/oak_tree/shingle_oak_s_000161.png,52
data/skunk/skunk_s_002194.png,75
data/butterfly/butterfly_s_001945.png,14
data/oak_tree/quercus_virginiana_s_000476.png,52
data/wolf/wolf_s_002354.png,97
data/house/house_s_000142.png,37
data/spider/argiope_aurantia_s_000553.png,79
data/woman/white_woman_s_000313.png,98
data/wardrobe/wardrobe_s_001848.png,94
data/rose/rose_s_000359.png,70
data/squirrel/squirrel_s_002221.png,80
data/dinosaur/ornithischian_dinosaur_s_000018.png,29
data/otter/otter_s_001049.png,55
data/wolf/gray_wolf_s_002046.png,97
data/beetle/beetle_s_001647.png,7
data/fox/red_fox_s_000258.png,34
data/train/train_s_002426.png,90
data/snail/snail_s_002094.png,77
data/castle/castle_s_001383.png,17
data/can/coffee_can_s_000088.png,16
data/pear/bosc_s_001174.png,57
data/bottle/pop_bottle_s_000639.png,9
data/bus/bus_s_002173.png,13
data/table/breakfast_table_s_001336.png,84
data/crab/dungeness_crab_s_000154.png,26
data/beaver/castor_canadensis_s_000428.png,4
data/hamster/golden_hamster_s_000006.png,36
data/wolf/gray_wolf_s_001494.png,97
data/shark/shortfin_mako_s_000022.png,73
data/lamp/electric_lamp_s_000024.png,40
data/apple/mcintosh_s_000911.png,0
data/willow_tree/willow_tree_s_001084.png,96
data/butterfly/butterfly_s_000941.png,14
data/bridge/drawbridge_s_002327.png,12
data/orange/navel_orange_s_000842.png,53
data/girl/shop_girl_s_000136.png,35
data/bear/bear_s_000655.png,3
data/ray/guitarfish_s_000825.png,67
data/kangaroo/kangaroo_s_002819.png,38
data/flatfish/flounder_s_000651.png,32
data/pear/bartlett_pear_s_000298.png,57
data/television/television_system_s_000324.png,87
data/snake/hognose_snake_s_000054.png,78
data/ray/guitarfish_s_000350.png,67
data/bridge/drawbridge_s_001540.png,12
data/bridge/drawbridge_s_002547.png,12
data/chimpanzee/chimpanzee_s_000960.png,21
data/tractor/tractor_s_000959.png,89
data/castle/buckingham_palace_s_000479.png,17
data/television/television_s_000106.png,87
data/trout/rainbow_trout_s_001031.png,91
data/cockroach/cockroach_s_000522.png,24
data/table/breakfast_table_s_001332.png,84
data/sea/adriatic_s_002070.png,71
data/mountain/mount_s_002274.png,49
data/turtle/sea_turtle_s_001905.png,93
data/bridge/drawbridge_s_000862.png,12
data/beetle/tiger_beetle_s_001436.png,7
data/leopard/panthera_pardus_s_000807.png,42
data/hamster/cricetus_cricetus_s_000505.png,36
data/poppy/poppy_s_000232.png,62
data/castle/palace_s_001689.png,17
data/house/house_s_000783.png,37
data/porcupine/hedgehog_s_001902.png,63
data/butterfly/mourning_cloak_s_000845.png,14
data/train/train_s_003173.png,90
data/poppy/poppy_s_001261.png,62
data/lawn_mower/mower_s_000832.png,41
data/cockroach/oriental_cockroach_s_001599.png,24
data/cup/goblet_s_001139.png,28
data/rocket/intercontinental_ballistic_missile_s_000915.png,69
data/trout/trout_s_002649.png,91
data/bed/bed_s_002707.png,5
data/bear/bear_cub_s_001771.png,3
data/cockroach/oriental_cockroach_s_001023.png,24
data/cattle/cattle_s_001864.png,19
data/forest/wood_s_000798.png,33
data/seal/seal_s_000768.png,72
data/butterfly/mourning_cloak_s_000954.png,14
data/crab/dungeness_crab_s_000123.png,26
data/trout/rainbow_trout_s_002053.png,91
data/chimpanzee/chimpanzee_s_000177.png,21
data/telephone/telephone_set_s_001471.png,86
data/plate/plate_iron_s_000635.png,61
data/aquarium_fish/cichlid_s_002241.png,1
data/wardrobe/closet_s_002175.png,94
data/house/bungalow_s_000196.png,37
data/rose/rose_s_002081.png,70
data/maple_tree/silver_maple_s_001191.png,47
data/woman/black_woman_s_001316.png,98
data/trout/trout_s_002452.png,91
data/clock/clock_s_000010.png,22
data/lizard/gecko_s_000955.png,44
data/forest/woods_s_000436.png,33
data/cockroach/oriental_cockroach_s_001028.png,24
data/chair/reclining_chair_s_000374.png,20
data/crocodile/crocodile_s_000189.png,27
data/skunk/striped_skunk_s_000263.png,75
data/spider/spider_s_002540.png,79
data/lamp/electric_lamp_s_000335.png,40
data/hamster/golden_hamster_s_000413.png,36
data/chair/reclining_chair_s_000466.png,20
data/ray/stingray_s_000054.png,67
data/tulip/lady_tulip_s_000102.png,92
data/beetle/beetle_s_001154.png,7
data/motorcycle/moped_s_000034.png,48
data/raccoon/raccoon_s_002192.png,66
data/fox/red_fox_s_001417.png,34
data/lawn_mower/power_mower_s_000714.png,41
data/poppy/poppy_s_000238.png,62
data/cattle/cattle_s_001235.png,19
data/mouse/fieldmouse_s_000003.png,50
data/boy/boy_s_002013.png,11
data/streetcar/streetcar_s_000869.png,81
data/chair/wing_chair_s_000033.png,20
data/oak_tree/english_oak_s_000028.png,52
data/pear/bartlett_pear_s_000140.png,57
data/can/coffee_can_s_002011.png,16
data/lawn_mower/power_mower_s_001223.png,41
data/aquarium_fish/cichlid_s_001620.png,1
data/dolphin/delphinus_delphis_s_000722.png,30
data/beaver/castor_canadensis_s_000002.png,4
data/bicycle/bicycle_s_000392.png,8
data/bridge/lift_bridge_s_001524.png,12
data/skunk/spotted_skunk_s_000020.png,75
data/dinosaur/stegosaurus_s_001017.png,29
data/ray/eagle_ray_s_000092.png,67
data/tank/army_tank_s_001635.png,85
data/leopard/leopard_s_001498.png,42
data/bus/minibus_s_001910.png,13
data/aquarium_fish/cichlid_s_000532.png,1
data/skyscraper/wtc_s_001816.png,76
