,images,labels
0,org/openml/www/datasets/44239/FLW_Micro/images/image_07227.jpg,12
1,org/openml/www/datasets/44239/FLW_Micro/images/image_06553.jpg,3
2,org/openml/www/datasets/44239/FLW_Micro/images/image_04724.jpg,14
3,org/openml/www/datasets/44239/FLW_Micro/images/image_05013.jpg,10
4,org/openml/www/datasets/44239/FLW_Micro/images/image_07256.jpg,6
5,org/openml/www/datasets/44239/FLW_Micro/images/image_07040.jpg,17
6,org/openml/www/datasets/44239/FLW_Micro/images/image_07220.jpg,12
7,org/openml/www/datasets/44239/FLW_Micro/images/image_00976.jpg,18
8,org/openml/www/datasets/44239/FLW_Micro/images/image_07229.jpg,12
9,org/openml/www/datasets/44239/FLW_Micro/images/image_01091.jpg,18
10,org/openml/www/datasets/44239/FLW_Micro/images/image_07927.jpg,1
11,org/openml/www/datasets/44239/FLW_Micro/images/image_04937.jpg,8
12,org/openml/www/datasets/44239/FLW_Micro/images/image_04934.jpg,8
13,org/openml/www/datasets/44239/FLW_Micro/images/image_00415.jpg,19
14,org/openml/www/datasets/44239/FLW_Micro/images/image_00429.jpg,19
15,org/openml/www/datasets/44239/FLW_Micro/images/image_05888.jpg,0
16,org/openml/www/datasets/44239/FLW_Micro/images/image_06496.jpg,4
17,org/openml/www/datasets/44239/FLW_Micro/images/image_00957.jpg,18
18,org/openml/www/datasets/44239/FLW_Micro/images/image_07930.jpg,1
19,org/openml/www/datasets/44239/FLW_Micro/images/image_05750.jpg,9
20,org/openml/www/datasets/44239/FLW_Micro/images/image_00057.jpg,13
21,org/openml/www/datasets/44239/FLW_Micro/images/image_02665.jpg,7
22,org/openml/www/datasets/44239/FLW_Micro/images/image_04901.jpg,8
23,org/openml/www/datasets/44239/FLW_Micro/images/image_05873.jpg,0
24,org/openml/www/datasets/44239/FLW_Micro/images/image_07210.jpg,12
25,org/openml/www/datasets/44239/FLW_Micro/images/image_04763.jpg,14
26,org/openml/www/datasets/44239/FLW_Micro/images/image_07920.jpg,1
27,org/openml/www/datasets/44239/FLW_Micro/images/image_05774.jpg,9
28,org/openml/www/datasets/44239/FLW_Micro/images/image_07913.jpg,1
29,org/openml/www/datasets/44239/FLW_Micro/images/image_07007.jpg,17
30,org/openml/www/datasets/44239/FLW_Micro/images/image_07204.jpg,12
